Route ID,Agency ID,Route Code,Route Name,Description,Route Type,Route Color,Text Color,Route Description
313D,BMTCB,,K R Market -K R Puram,,3,F53333,FFFFFF,313D :K R Market -K R Puram
313E,BMTCB,,K R Market -Sadaramangala,,3,F53333,FFFFFF,313E :K R Market -Sadaramangala
313F,BMTCB,,K R Market -Rampura,,3,F53333,FFFFFF,313F :K R Market -Rampura
313G,BMTCB,,K R Market -Gayathri Layout,,3,F53333,FFFFFF,313G :K R Market -Gayathri Layout
313J,BMTCB,,K R Market -Jinkethimmanahalli,,3,F53333,FFFFFF,313J :K R Market -Jinkethimmanahalli
313K,BMTCB,,K R Market -Ayyappanagar (K R Puram),,3,F53333,FFFFFF,313K :K R Market -Ayyappanagar (K R Puram)
313L,BMTCB,,K R Market -Ramamurthynagar,,3,F53333,FFFFFF,313L :K R Market -Ramamurthynagar
313N,BMTCB,,K R Market -Sadanandanagar,,3,F53333,FFFFFF,313N :K R Market -Sadanandanagar
313P,BMTCB,,K R Market -Shanthi Layout,,3,F53333,FFFFFF,313P :K R Market -Shanthi Layout
313R,BMTCB,,K R Market -Varthur,,3,F53333,FFFFFF,313R :K R Market -Varthur
313T,BMTCB,,K R Market -Tambuchettypalya,,3,F53333,FFFFFF,313T :K R Market -Tambuchettypalya
314,BMTCB,,Shivajinagar -Nagavarapalya,,3,F53333,FFFFFF,314:Shivajinagar -Nagavarapalya
314A,BMTCB,,Shivajinagar -DRDO Township 2nd Phase,,3,F53333,FFFFFF,314A :Shivajinagar -DRDO Township 2nd Phase
314AA,BMTCB,,Ulsoor - hope farm,"BEML gate,BTP,Malleshpalya,Basavanagar,Marthahalli,Varthoor",3,F53333,FFFFFF,314AA:Ulsoor - hope farm
314B,BMTCB,,Shivajinagar -Nagavarapalya,,3,F53333,FFFFFF,314B :Shivajinagar -Nagavarapalya
314C,BMTCB,,K R Market -Nagavarapalya,,3,F53333,FFFFFF,314C :K R Market -Nagavarapalya
314D,BMTCB,,K R Market -Vijnananagar,,3,F53333,FFFFFF,314D :K R Market -Vijnananagar
314E,BMTCB,,Kempegowda Bus Station -DRDO Township,,3,F53333,FFFFFF,314E :Kempegowda Bus Station -DRDO Township
314F,BMTCB,,Kempegowda Bus Station -Vibhuthipura,,3,F53333,FFFFFF,314F :Kempegowda Bus Station -Vibhuthipura
314G,BMTCB,,Kempegowda Bus Station -Byrasandra (C V Raman Nagar),,3,F53333,FFFFFF,314G :Kempegowda Bus Station -Byrasandra (C V Raman Nagar)
314H,BMTCB,,Kempegowda Bus Station -Malleshpalya,,3,F53333,FFFFFF,314H :Kempegowda Bus Station -Malleshpalya
314K,BMTCB,,Chennammanakere Achkattu -C V Raman Nagar,,3,F53333,FFFFFF,314K :Chennammanakere Achkattu -C V Raman Nagar
314L,BMTCB,,ISRO Layout -C V Raman Nagar,,3,F53333,FFFFFF,314L :ISRO Layout -C V Raman Nagar
314N,BMTCB,,Shivajinagar -Basavanagar Samudaya Bhavan,,3,F53333,FFFFFF,314N :Shivajinagar -Basavanagar Samudaya Bhavan
314P,BMTCB,,Shivajinagar -Jagadeeshnagar,,3,F53333,FFFFFF,314P :Shivajinagar -Jagadeeshnagar
314Q,BMTCB,,K R Market -Nallurupura,,3,F53333,FFFFFF,314Q :K R Market -Nallurupura
314R,BMTCB,,Mallathahalli -C V Raman Nagar,,3,F53333,FFFFFF,314R :Mallathahalli -C V Raman Nagar
314S,BMTCB,,Shivajinagar -Nallurupura,,3,F53333,FFFFFF,314S :Shivajinagar -Nallurupura
314T,BMTCB,,Kempegowda Bus Station -Basavanagar,,3,F53333,FFFFFF,314T :Kempegowda Bus Station -Basavanagar
315,BMTCB,,Kempegowda Bus Station -K R Puram,,3,F53333,FFFFFF,315:Kempegowda Bus Station -K R Puram
315A,BMTCB,,Kempegowda Bus Station -Suddaguntepalya,,3,F53333,FFFFFF,315A :Kempegowda Bus Station -Suddaguntepalya
315B,BMTCB,,Kempegowda Bus Station -A Narayanapura,,3,F53333,FFFFFF,315B :Kempegowda Bus Station -A Narayanapura
315C,BMTCB,,Kempegowda Bus Station -Krishnayyanapalya,,3,F53333,FFFFFF,315C :Kempegowda Bus Station -Krishnayyanapalya
315D,BMTCB,,Kempegowda Bus Station -Kalkere (Horamavu),,3,F53333,FFFFFF,315D :Kempegowda Bus Station -Kalkere (Horamavu)
315E,BMTCB,,Kempegowda Bus Station -Sadaramangala,,3,F53333,FFFFFF,315E :Kempegowda Bus Station -Sadaramangala
315F,BMTCB,,Kempegowda Bus Station -Seegehalli (K R Puram),,3,F53333,FFFFFF,315F :Kempegowda Bus Station -Seegehalli (K R Puram)
315G,BMTCB,,Kempegowda Bus Station -Vijinapura,,3,F53333,FFFFFF,315G :Kempegowda Bus Station -Vijinapura
315H,BMTCB,,Kempegowda Bus Station -Food Corporation of India,,3,F53333,FFFFFF,315H :Kempegowda Bus Station -Food Corporation of India
315J,BMTCB,,Kempegowda Bus Station -Adur,,3,F53333,FFFFFF,315J :Kempegowda Bus Station -Adur
315K,BMTCB,,Kempegowda Bus Station -K R Puram,,3,F53333,FFFFFF,315K :Kempegowda Bus Station -K R Puram
315L,BMTCB,,Kempegowda Bus Station -Ramamurthynagar,,3,F53333,FFFFFF,315L :Kempegowda Bus Station -Ramamurthynagar
315N,BMTCB,,Kempegowda Bus Station -Nagondanahalli,,3,F53333,FFFFFF,315N :Kempegowda Bus Station -Nagondanahalli
315P,BMTCB,,Kempegowda Bus Station -Shanthi Layout,,3,F53333,FFFFFF,315P :Kempegowda Bus Station -Shanthi Layout
315Q,BMTCB,,Kempegowda Bus Station -Devasandra (Old Madras Road),,3,F53333,FFFFFF,315Q :Kempegowda Bus Station -Devasandra (Old Madras Road)
315R,BMTCB,,Banashankari 3rd Stage -K R Puram,,3,F53333,FFFFFF,315R :Banashankari 3rd Stage -K R Puram
315T,BMTCB,,Kempegowda Bus Station -Kittaganur,,3,F53333,FFFFFF,315T :Kempegowda Bus Station -Kittaganur
315V,BMTCB,,Kempegowda Bus Station -Kadugodi,,3,F53333,FFFFFF,315V :Kempegowda Bus Station -Kadugodi
315W,BMTCB,,Kempegowda Bus Station -Udayanagar,,3,F53333,FFFFFF,315W :Kempegowda Bus Station -Udayanagar
315Y,BMTCB,,Kempegowda Bus Station -Hoysalanagar,,3,F53333,FFFFFF,315Y :Kempegowda Bus Station -Hoysalanagar
316,BMTCB,,K R Market -Budigere,,3,F53333,FFFFFF,316:K R Market -Budigere
316A,BMTCB,,K R Market -Gangawara,,3,F53333,FFFFFF,316A :K R Market -Gangawara
316B,BMTCB,,Kempegowda Bus Station -Budigere,,3,F53333,FFFFFF,316B :Kempegowda Bus Station -Budigere
316C,BMTCB,,K R Market -Huskur (Old Madras Road),,3,F53333,FFFFFF,316C :K R Market -Huskur (Old Madras Road)
316D,BMTCB,,K R Market -Bhattara Marenahalli,,3,F53333,FFFFFF,316D :K R Market -Bhattara Marenahalli
316E,BMTCB,,K R Market -Hancharahalli,,3,F53333,FFFFFF,316E :K R Market -Hancharahalli
316F,BMTCB,,Kempegowda Bus Station -Cheemasandra,,3,F53333,FFFFFF,316F :Kempegowda Bus Station -Cheemasandra
316G,BMTCB,,Kempegowda Bus Station -Mandur,,3,F53333,FFFFFF,316G :Kempegowda Bus Station -Mandur
316J,BMTCB,,Kempegowda Bus Station -Kattu Gollahalli,,3,F53333,FFFFFF,316J :Kempegowda Bus Station -Kattu Gollahalli
316K,BMTCB,,K R Market -Kaggalahalli (Old Madras Road),,3,F53333,FFFFFF,316K :K R Market -Kaggalahalli (Old Madras Road)
316L,BMTCB,,K R Market -Cheemasandra,,3,F53333,FFFFFF,316L :K R Market -Cheemasandra
316M,BMTCB,,Kempegowda Bus Station -Singahalli,,3,F53333,FFFFFF,316M :Kempegowda Bus Station -Singahalli
316N,BMTCB,,K R Market -Andarahalli,,3,F53333,FFFFFF,316N :K R Market -Andarahalli
316Q,BMTCB,,K R Market -Kaggalahalli (Old Madras Road),,3,F53333,FFFFFF,316Q :K R Market -Kaggalahalli (Old Madras Road)
316R,BMTCB,,K R Market -Nallur,,3,F53333,FFFFFF,316R :K R Market -Nallur
316T,BMTCB,,K R Market -Samathhalli,,3,F53333,FFFFFF,316T :K R Market -Samathhalli
317,BMTCB,,K R Market -Hosakote,,3,F53333,FFFFFF,317:K R Market -Hosakote
317A,BMTCB,,Kempegowda Bus Station -Hosakote,,3,F53333,FFFFFF,317A :Kempegowda Bus Station -Hosakote
317B,BMTCB,,K R Market -Kaji Sonnenahalli,,3,F53333,FFFFFF,317B :K R Market -Kaji Sonnenahalli
317C,BMTCB,,K R Market -Poojena Agrahara,,3,F53333,FFFFFF,317C :K R Market -Poojena Agrahara
317D,BMTCB,,K R Market -Kannurahalli,,3,F53333,FFFFFF,317D :K R Market -Kannurahalli
317E,BMTCB,,K R Market -Kumbalahalli,,3,F53333,FFFFFF,317E :K R Market -Kumbalahalli
317F,BMTCB,,K R Market -Pillagumpa Industrial Estate,,3,F53333,FFFFFF,317F :K R Market -Pillagumpa Industrial Estate
317G,BMTCB,,Shivajinagar -Hosakote,,3,F53333,FFFFFF,317G :Shivajinagar -Hosakote
317J,BMTCB,,K R Market -Kacharakanahalli,,3,F53333,FFFFFF,317J :K R Market -Kacharakanahalli
317K,BMTCB,,K R Market -Kurubarahalli (Old Madras Road),,3,F53333,FFFFFF,317K :K R Market -Kurubarahalli (Old Madras Road)
317L,BMTCB,,Kempegowda Bus Station -Jangamakote,,3,F53333,FFFFFF,317L :Kempegowda Bus Station -Jangamakote
317M,BMTCB,,K R Market -Dasarahalli (Old Madras Road),,3,F53333,FFFFFF,317M :K R Market -Dasarahalli (Old Madras Road)
317N,BMTCB,,K R Market -Kamarasanahalli,,3,F53333,FFFFFF,317N :K R Market -Kamarasanahalli
317P,BMTCB,,Kempegowda Bus Station -Kaji Sonnenahalli,,3,F53333,FFFFFF,317P :Kempegowda Bus Station -Kaji Sonnenahalli
317R,BMTCB,,K R Market -Cheemandahalli,,3,F53333,FFFFFF,317R :K R Market -Cheemandahalli
317S,BMTCB,,K R Market -Begur (Old Madras Road),,3,F53333,FFFFFF,317S :K R Market -Begur (Old Madras Road)
317T,BMTCB,,K R Market -Jinnanagara,,3,F53333,FFFFFF,317T :K R Market -Jinnanagara
317V,BMTCB,,Kempegowda Bus Station -Naduvarthi,,3,F53333,FFFFFF,317V :Kempegowda Bus Station -Naduvarthi
317W,BMTCB,,K R Market -Ganagalu,,3,F53333,FFFFFF,317W :K R Market -Ganagalu
317Y,BMTCB,,K R Market -Karibeeranahosahalli,,3,F53333,FFFFFF,317Y :K R Market -Karibeeranahosahalli
317Z,BMTCB,,Kempegowda Bus Station -Kaji Hosahalli,,3,F53333,FFFFFF,317Z :Kempegowda Bus Station -Kaji Hosahalli
318,BMTCB,,K R Market -Jyothipura,,3,F53333,FFFFFF,318:K R Market -Jyothipura
318A,BMTCB,,K R Market -Bommenahalli,,3,F53333,FFFFFF,318A :K R Market -Bommenahalli
318E,BMTCB,,K R Market -Thirumenahalli (Hosakote),,3,F53333,FFFFFF,318E :K R Market -Thirumenahalli (Hosakote)
319,BMTCB,,K R Market -Kaji Hosahalli,,3,F53333,FFFFFF,319:K R Market -Kaji Hosahalli
319A,BMTCB,,K R Market -Whitefield Post Office,,3,F53333,FFFFFF,319A :K R Market -Whitefield Post Office
319B,BMTCB,,K R Market -Chikkabanahalli,,3,F53333,FFFFFF,319B :K R Market -Chikkabanahalli
319C,BMTCB,,Kempegowda Bus Station -Kadugodi,,3,F53333,FFFFFF,319C :Kempegowda Bus Station -Kadugodi
319E,BMTCB,,Halasuru -Hope Farm,,3,F53333,FFFFFF,319E :Halasuru -Hope Farm
319G,BMTCB,,Kempegowda Bus Station -Dr Ambedkar Nagar,,3,F53333,FFFFFF,319G :Kempegowda Bus Station -Dr Ambedkar Nagar
319J,BMTCB,,K R Market -Dinnur Kadugooli,,3,F53333,FFFFFF,319J :K R Market -Dinnur Kadugooli
320,BMTCB,,Shivajinagar -Immadihalli,,3,F53333,FFFFFF,320:Shivajinagar -Immadihalli
320A,BMTCB,,Kempegowda Bus Station -Nagondanahalli,,3,F53333,FFFFFF,320A :Kempegowda Bus Station -Nagondanahalli
320B,BMTCB,,Kempegowda Bus Station -Gandhipura,,3,F53333,FFFFFF,320B :Kempegowda Bus Station -Gandhipura
320C,BMTCB,,Shivajinagar -Vydehi Hospital,,3,F53333,FFFFFF,320C :Shivajinagar -Vydehi Hospital
320D,BMTCB,,Viveknagar -Kadugodi,,3,F53333,FFFFFF,320D :Viveknagar -Kadugodi
320E,BMTCB,,Shivajinagar -Nagondanahalli,,3,F53333,FFFFFF,320E :Shivajinagar -Nagondanahalli
320F,BMTCB,,Shivajinagar -Harohalli (Whitefield),,3,F53333,FFFFFF,320F :Shivajinagar -Harohalli (Whitefield)
320G,BMTCB,,Yeshwanthpur -Vydehi Hospital,,3,F53333,FFFFFF,320G :Yeshwanthpur -Vydehi Hospital
320H,BMTCB,,Shivajinagar -Whitefield Gandhipur,,3,F53333,FFFFFF,320H :Shivajinagar -Whitefield Gandhipur
321,BMTCB,,K R Market -Muthkur (Whitefield),,3,F53333,FFFFFF,321:K R Market -Muthkur (Whitefield)
321A,BMTCB,,K R Market -Seegehalli (K R Puram),,3,F53333,FFFFFF,321A :K R Market -Seegehalli (K R Puram)
321B,BMTCB,,Banashankari -Muthkur (Whitefield),,3,F53333,FFFFFF,321B :Banashankari -Muthkur (Whitefield)
321C,BMTCB,,K R Market -Samethanahalli,,3,F53333,FFFFFF,321C :K R Market -Samethanahalli
321D,BMTCB,,K R Market -Naganayakanakote,,3,F53333,FFFFFF,321D :K R Market -Naganayakanakote
321E,BMTCB,,Shivajinagar -Muthkur (Whitefield),,3,F53333,FFFFFF,321E :Shivajinagar -Muthkur (Whitefield)
322,BMTCB,,K R Market -Muthugadahalli (Hennur),,3,F53333,FFFFFF,322:K R Market -Muthugadahalli (Hennur)
322A,BMTCB,,K R Market -Bylalu (Old Madras Road),,3,F53333,FFFFFF,322A :K R Market -Bylalu (Old Madras Road)
322B,BMTCB,,K R Market -Yadagondanahalli,,3,F53333,FFFFFF,322B :K R Market -Yadagondanahalli
322M,BMTCB,,K R Market -Tattanur,,3,F53333,FFFFFF,322M :K R Market -Tattanur
323,BMTCB,,K R Market -Bagur,,3,F53333,FFFFFF,323:K R Market -Bagur
323A,BMTCB,,K R Market -Gonighattapura,,3,F53333,FFFFFF,323A :K R Market -Gonighattapura
323B,BMTCB,,K R Market -Koogur,,3,F53333,FFFFFF,323B :K R Market -Koogur
323C,BMTCB,,K R Market -Mugalur,,3,F53333,FFFFFF,323C :K R Market -Mugalur
323D,BMTCB,,K R Market -Kootaganahalli,,3,F53333,FFFFFF,323D :K R Market -Kootaganahalli
323E,BMTCB,,K R Market -Nerige,,3,F53333,FFFFFF,323E :K R Market -Nerige
323F,BMTCB,,Kempegowda Bus Station -Nerige,,3,F53333,FFFFFF,323F :Kempegowda Bus Station -Nerige
323G,BMTCB,,K R Market -Ramanayakanahalli,,3,F53333,FFFFFF,323G :K R Market -Ramanayakanahalli
323J,BMTCB,,Kempegowda Bus Station -Kootaganahalli,,3,F53333,FFFFFF,323J :Kempegowda Bus Station -Kootaganahalli
323K,BMTCB,,Kempegowda Bus Station -Bagur,,3,F53333,FFFFFF,323K :Kempegowda Bus Station -Bagur
324,BMTCB,,K R Market -Immadihalli,,3,F53333,FFFFFF,324:K R Market -Immadihalli
324A,BMTCB,,K R Market -Nagondanahalli,,3,F53333,FFFFFF,324A :K R Market -Nagondanahalli
324C,BMTCB,,K R Market -Agadur,,3,F53333,FFFFFF,324C :K R Market -Agadur
324D,BMTCB,,K R Market -Whitefield Post Office,,3,F53333,FFFFFF,324D :K R Market -Whitefield Post Office
324E,BMTCB,,K R Market -Vijayanagar (Varthur Road),,3,F53333,FFFFFF,324E :K R Market -Vijayanagar (Varthur Road)
325,BMTCB,,K R Market -Harohalli (Whitefield),,3,F53333,FFFFFF,325:K R Market -Harohalli (Whitefield)
325A,BMTCB,,Kempegowda Bus Station -Harohalli (Whitefield),,3,F53333,FFFFFF,325A :Kempegowda Bus Station -Harohalli (Whitefield)
326A,BMTCB,,K R Market -Hosakote,,3,F53333,FFFFFF,326A :K R Market -Hosakote
326C,BMTCB,,K R Market -Kadugodi,,3,F53333,FFFFFF,326C :K R Market -Kadugodi
326E,BMTCB,,K R Market -Hosakote,,3,F53333,FFFFFF,326E :K R Market -Hosakote
327,BMTCB,,Kempegowda Bus Station -Gunjur,,3,F53333,FFFFFF,327:Kempegowda Bus Station -Gunjur
327A,BMTCB,,Kempegowda Bus Station -Dommasandra,,3,F53333,FFFFFF,327A :Kempegowda Bus Station -Dommasandra
327B,BMTCB,,K R Market -Panathur,,3,F53333,FFFFFF,327B :K R Market -Panathur
327C,BMTCB,,K R Market -Attibele,,3,F53333,FFFFFF,327C :K R Market -Attibele
327D,BMTCB,,Kempegowda Bus Station -Gunjur,,3,F53333,FFFFFF,327D :Kempegowda Bus Station -Gunjur
327E,BMTCB,,K R Market -Gunjurpalya,,3,F53333,FFFFFF,327E :K R Market -Gunjurpalya
327F,BMTCB,,K R Market -Kodathi,,3,F53333,FFFFFF,327F :K R Market -Kodathi
328,BMTCB,,K R Market -Varthur,,3,F53333,FFFFFF,328:K R Market -Varthur
328A,BMTCB,,K R Puram -Varthur,,3,F53333,FFFFFF,328A :K R Puram -Varthur
328B,BMTCB,,Hosakote -Sarjapur,,3,F53333,FFFFFF,328B :Hosakote -Sarjapur
328E,BMTCB,,K R Market -Harohalli (Whitefield),,3,F53333,FFFFFF,328E :K R Market -Harohalli (Whitefield)
328F,BMTCB,,Kempegowda Bus Station -Valepura,,3,F53333,FFFFFF,328F :Kempegowda Bus Station -Valepura
328G,BMTCB,,K R Market -Halasahalli,,3,F53333,FFFFFF,328G :K R Market -Halasahalli
328H,BMTCB,,Hosakote -Attibele,,3,F53333,FFFFFF,328H :Hosakote -Attibele
329,BMTCB,,K R Market -Muthasandra,,3,F53333,FFFFFF,329:K R Market -Muthasandra
329A,BMTCB,,K R Market -Madappanahalli (Varthur Road),,3,F53333,FFFFFF,329A :K R Market -Madappanahalli (Varthur Road)
329B,BMTCB,,K R Market -Jantagondanahalli,,3,F53333,FFFFFF,329B :K R Market -Jantagondanahalli
329C,BMTCB,,K R Market -Kothur,,3,F53333,FFFFFF,329C :K R Market -Kothur
