_id,Ward No.,Ward Name,Area (sq km),Road length (kms),Ward Area (in sq.km),Total Population,Male Population,Female Population,SC Population,ST Population,Assembly constituency,Parliamentary constituency
108,108,Sri Rama Mandir Ward,1.1,33,1.5126,48770,25202,23568,3913,826,165-RAJAJI NAGAR,BANGALORE CENTRAL
109,109,Chickpete,0.7,38,0.863,43756,23258,20498,1551,759,156-MAHALAXMI LAYOUT,BANGALORE NORTH
110,110,Sampangiram Nagar,4.4,58,1.2799,37702,20415,17287,1457,759,166-GOVINDRAJA NAGAR,BANGALORE SOUTH
111,111,Shantala Nagar,4.0,61,1.0174,37739,19446,18293,3171,692,166-GOVINDRAJA NAGAR,BANGALORE SOUTH
112,112,Domlur,1.7,51,1.332,39680,20558,19122,4701,1056,166-GOVINDRAJA NAGAR,BANGALORE SOUTH
113,113,Konena Agrahara,2.1,47,0.82,40499,21241,19258,721,263,164-GANDHI NAGAR,BANGALORE CENTRAL
114,114,Agaram,11.0,35,0.7748,48217,24354,23863,24306,419,168-CHAMARAJPET,BANGALORE CENTRAL
115,115,Vannar Pet,0.8,30,0.6984,44155,22648,21507,6265,1204,164-GANDHI NAGAR,BANGALORE CENTRAL
116,116,Nilasandra,0.5,30,0.4009,46974,24031,22943,9083,383,168-CHAMARAJPET,BANGALORE CENTRAL
117,117,Shanthi Nagar,2.7,43,0.3564,40032,20374,19658,1073,2395,167-VIJAYA NAGAR,BANGALORE SOUTH
118,118,Sudham Nagar,1.0,30,0.7316,40331,20905,19426,1897,606,167-VIJAYA NAGAR,BANGALORE SOUTH
119,119,Dharmaraya Swamy Temple,1.1,41,0.8859,37347,18944,18403,4817,851,167-VIJAYA NAGAR,BANGALORE SOUTH
120,120,Cottonpete,0.8,26,1.2161,37416,19301,18115,1440,557,166-GOVINDRAJA NAGAR,BANGALORE SOUTH
121,121,Binni Pete,0.8,27,3.9763,46170,23614,22556,3924,1011,154-RAJARAJESHWARI NAGAR,BANGALORE RURAL
122,122,Kempapura Agrahara,0.4,16,0.9116,38670,19974,18696,2160,625,166-GOVINDRAJA NAGAR,BANGALORE SOUTH
123,123,Vijaya Nagar,0.7,27,0.9726,38003,19708,18295,1879,566,166-GOVINDRAJA NAGAR,BANGALORE SOUTH
124,124,Hosahalli,0.9,33,1.3891,41487,21447,20040,2268,424,167-VIJAYA NAGAR,BANGALORE SOUTH
125,125,Marenahalli,0.7,23,1.1274,36298,18502,17796,4167,847,167-VIJAYA NAGAR,BANGALORE SOUTH
126,126,Maruthi Mandir Ward,0.8,26,0.6582,48299,25161,23138,2371,592,167-VIJAYA NAGAR,BANGALORE SOUTH
127,127,Mudalapalya,1.0,37,0.7216,48678,24981,23697,4546,361,168-CHAMARAJPET,BANGALORE CENTRAL
128,128,Nagarabhavi,1.6,45,1.6198,47679,24571,23108,6179,598,168-CHAMARAJPET,BANGALORE CENTRAL
129,129,Jnana Bharathi Ward,11.9,233,1.6714,44676,23031,21645,8276,301,169-CHICKPET,BANGALORE SOUTH
130,130,Ullalu,8.7,235,1.7281,47733,24492,23241,8033,545,169-CHICKPET,BANGALORE SOUTH
131,131,Nayandahalli,2.1,40,2.1001,43977,23154,20823,6359,723,163-SHANTI NAGAR,BANGALORE CENTRAL
132,132,Attiguppe,1.4,46,1.4873,43991,22978,21013,6057,413,163-SHANTI NAGAR,BANGALORE CENTRAL
133,133,Hampi Nagar,1.1,38,0.7582,42054,21262,20792,13581,1509,163-SHANTI NAGAR,BANGALORE CENTRAL
134,134,Bapuji Nagar,0.7,23,1.8692,47004,24717,22287,7231,953,172-B.T.M. LAYOUT,BANGALORE SOUTH
135,135,Padarayanapura,0.3,13,3.4367,48354,24406,23948,8552,1029,172-B.T.M. LAYOUT,BANGALORE SOUTH
136,136,Jagajivanaram Nagar,0.6,20,2.0365,41330,21322,20008,8775,962,172-B.T.M. LAYOUT,BANGALORE SOUTH
